Label,StartingPosition,NumberOfPositions,Converter
Opleidingscode,1,5,convert_to_object
ISCEDF2013Detailgroep,6,4,convert_to_object
ISCEDF2013DetailgroepOmschrijving,10,70,convert_to_object
ISCEDF2013Rubriek,80,6,convert_to_object
ISCEDF2013RubriekOmschrijving,86,70,convert_to_object
